feature_idx,activation_count,freq,mean_when_active,max_activation,is_alive
374,62,0.000208,0.117507,0.164381,True
375,1,3e-06,0.016687,0.016687,True
376,15,5e-05,0.009344,0.01838,True
377,4,1.3e-05,0.005348,0.006739,True
378,113,0.00038,0.0103,0.022582,True
379,8,2.7e-05,0.029494,0.05331,True
380,0,0.0,0.0,0.0,False
381,128,0.00043,0.053227,0.082896,True
382,558,0.001876,0.066276,0.151584,True
383,4,1.3e-05,0.019486,0.030086,True
384,2,7e-06,0.024655,0.033335,True
385,8521,0.028652,0.185766,0.320102,True
386,2946,0.009906,0.098147,0.185037,True
387,1967,0.006614,0.099651,0.15344,True
388,881,0.002962,0.028774,0.111695,True
389,2602,0.008749,0.044629,0.149014,True
390,3,1e-05,0.009846,0.012143,True
391,2,7e-06,0.04077,0.054409,True
392,858,0.002885,0.168031,0.232939,True
393,2,7e-06,0.012843,0.017018,True
394,14,4.7e-05,0.014392,0.03283,True
395,341,0.001147,0.060661,0.112412,True
396,0,0.0,0.0,0.0,False
397,5752,0.019341,0.282441,0.362973,True
398,2,7e-06,0.012374,0.016164,True
399,14729,0.049527,0.194447,0.351377,True
400,2,7e-06,0.027056,0.031567,True
401,13526,0.045482,0.280434,0.366965,True
402,1,3e-06,0.01417,0.01417,True
403,0,0.0,0.0,0.0,False
404,2,7e-06,0.018533,0.018533,True
405,0,0.0,0.0,0.0,False
406,25296,0.085059,0.154479,0.468908,True
407,381,0.001281,0.089471,0.366565,True
408,689,0.002317,0.042786,0.0796,True
409,82,0.000276,0.065171,0.123088,True
410,184,0.000619,0.065513,0.150845,True
411,0,0.0,0.0,0.0,False
412,473,0.00159,0.063305,0.157926,True
413,2,7e-06,0.011913,0.019525,True
414,3270,0.010995,0.043998,0.106021,True
415,0,0.0,0.0,0.0,False
416,0,0.0,0.0,0.0,False
417,0,0.0,0.0,0.0,False
418,7,2.4e-05,0.011253,0.014676,True
419,8884,0.029873,0.271754,0.362182,True
420,74,0.000249,0.043968,0.079483,True
421,0,0.0,0.0,0.0,False
422,7,2.4e-05,0.015811,0.032452,True
423,44,0.000148,0.037001,0.151622,True
424,17,5.7e-05,0.009181,0.022522,True
425,1,3e-06,0.023034,0.023034,True
426,557,0.001873,0.019337,0.075108,True
427,0,0.0,0.0,0.0,False
